,hh_index,area_id,zone_id,hh_count,hh_children,hh_people_in_work,hh_in_work,hh_income,hh_cars,p_hh_index,adult,gender,age,employment,occupation,main_activity,main_activity_id,main_facility_area,main_facility_zone,mode,hh_income_bin,age_bin
0,0.0,23.0,23.2,4.0,1.0,3.0,1.0,130000.0,1.0,0,1,0,22.0,3,1,1,923.0,44.0,44.0,0.0,2,21
1,0.0,23.0,23.2,4.0,1.0,3.0,1.0,130000.0,1.0,1,1,0,23.0,3,1,1,35.0,30.0,30.6,2.0,2,21
2,0.0,23.0,23.2,4.0,1.0,3.0,1.0,130000.0,1.0,2,1,1,22.0,3,1,1,998.0,23.0,23.2,0.0,2,21
3,0.0,23.0,23.2,4.0,1.0,3.0,1.0,130000.0,1.0,3,0,2,12.0,2,0,2,14.0,45.0,45.2,0.0,2,4
4,1.0,43.0,43.4,2.0,0.0,2.0,1.0,50000.0,1.0,0,1,1,33.0,3,1,1,754.0,45.0,45.3,0.0,0,31
5,1.0,43.0,43.4,2.0,0.0,2.0,1.0,50000.0,1.0,1,1,0,34.0,3,2,1,100.0,27.0,27.1,0.0,0,31
6,2.0,23.0,23.3,3.0,1.0,1.0,1.0,105000.0,1.0,0,1,1,22.0,3,1,1,82.0,20.0,20.3,0.0,2,21
7,2.0,23.0,23.3,3.0,1.0,1.0,1.0,105000.0,1.0,1,1,0,22.0,3,1,1,179.0,28.0,28.3,0.0,2,21
8,2.0,23.0,23.3,3.0,1.0,1.0,1.0,105000.0,1.0,2,0,1,8.0,2,0,2,2.0,24.0,24.9,0.0,2,4
9,3.0,32.0,32.0,2.0,0.0,2.0,1.0,75000.0,0.0,0,1,1,49.0,3,1,1,708.0,37.0,37.1,0.0,1,41
10,3.0,32.0,32.0,2.0,0.0,2.0,1.0,75000.0,0.0,1,1,1,47.0,3,1,1,565.0,24.0,24.9,0.0,1,41
11,4.0,25.0,25.4,5.0,2.0,2.0,1.0,135000.0,1.0,0,1,0,42.0,3,1,1,128.0,30.0,30.7,0.0,2,41
12,4.0,25.0,25.4,5.0,2.0,2.0,1.0,135000.0,1.0,1,1,0,43.0,3,1,1,499.0,5.0,5.1,0.0,2,41
13,4.0,25.0,25.4,5.0,2.0,2.0,1.0,135000.0,1.0,2,1,1,43.0,3,1,1,790.0,42.0,42.4,3.0,2,41
14,4.0,25.0,25.4,5.0,2.0,2.0,1.0,135000.0,1.0,3,0,0,12.0,2,0,2,15.0,25.0,25.8,0.0,2,4
15,4.0,25.0,25.4,5.0,2.0,2.0,1.0,135000.0,1.0,4,0,0,11.0,2,0,2,0.0,43.0,43.4,0.0,2,4
16,5.0,24.0,24.8,4.0,1.0,2.0,1.0,55000.0,0.0,0,1,1,21.0,3,1,1,399.0,7.0,7.9,0.0,1,16
17,5.0,24.0,24.8,4.0,1.0,2.0,1.0,55000.0,0.0,1,1,0,20.0,2,0,2,0.0,43.0,43.4,0.0,1,16
18,5.0,24.0,24.8,4.0,1.0,2.0,1.0,55000.0,0.0,2,1,0,23.0,3,1,1,239.0,10.0,10.9,0.0,1,21
19,5.0,24.0,24.8,4.0,1.0,2.0,1.0,55000.0,0.0,3,0,0,10.0,2,0,2,69.0,24.0,24.1,0.0,1,4
20,6.0,22.0,22.0,2.0,0.0,1.0,1.0,55000.0,1.0,0,1,0,63.0,3,1,1,342.0,7.0,7.2,0.0,1,61
21,6.0,22.0,22.0,2.0,0.0,1.0,1.0,55000.0,1.0,1,1,0,62.0,0,0,4,359.0,44.0,44.0,0.0,1,61
22,7.0,44.0,44.2,3.0,1.0,2.0,1.0,105000.0,0.0,0,1,0,35.0,3,2,1,623.0,40.0,40.1,0.0,2,31
23,7.0,44.0,44.2,3.0,1.0,2.0,1.0,105000.0,0.0,1,1,1,31.0,3,1,1,265.0,14.0,14.3,0.0,2,21
24,7.0,44.0,44.2,3.0,1.0,2.0,1.0,105000.0,0.0,2,0,0,8.0,2,0,2,72.0,32.0,32.6,0.0,2,4
25,8.0,24.0,24.6,5.0,3.0,0.0,0.0,23000.0,0.0,0,1,1,22.0,3,1,1,337.0,7.0,7.5,0.0,0,21
26,8.0,24.0,24.6,5.0,3.0,0.0,0.0,23000.0,0.0,1,1,0,25.0,1,0,5,30.0,14.0,14.0,0.0,0,21
27,8.0,24.0,24.6,5.0,3.0,0.0,0.0,23000.0,0.0,2,0,1,4.0,2,0,2,53.0,19.0,19.5,0.0,0,0
28,8.0,24.0,24.6,5.0,3.0,0.0,0.0,23000.0,0.0,3,0,0,2.0,2,0,2,68.0,44.0,44.0,0.0,0,0
29,8.0,24.0,24.6,5.0,3.0,0.0,0.0,23000.0,0.0,4,0,1,7.0,2,0,2,36.0,12.0,12.4,0.0,0,4
30,9.0,22.0,22.0,2.0,1.0,1.0,1.0,40000.0,1.0,0,1,1,20.0,3,1,1,267.0,10.0,10.2,1.0,0,16
31,9.0,22.0,22.0,2.0,1.0,1.0,1.0,40000.0,1.0,1,0,0,3.0,2,0,2,95.0,43.0,43.4,0.0,0,0
32,10.0,20.0,20.3,1.0,0.0,0.0,0.0,16000.0,0.0,0,1,1,47.0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,41
