,hh_index,area_id,zone_id,hh_count,hh_children,hh_people_in_work,hh_in_work,hh_cars,p_hh_index,adult,gender,employment,occupation,main_activity,main_activity_id,main_facility_area,main_facility_zone,mode,hh_income_bin,age_bin
22,7.0,44.0,44.2,3.0,1.0,2.0,1.0,0.0,0,1,0,3,2,1,623.0,40.0,40.1,0.0,2,31
23,7.0,44.0,44.2,3.0,1.0,2.0,1.0,0.0,1,1,1,3,1,1,265.0,14.0,14.3,0.0,2,21
24,7.0,44.0,44.2,3.0,1.0,2.0,1.0,0.0,2,0,0,2,0,2,72.0,32.0,32.6,0.0,2,4
30,9.0,22.0,22.0,2.0,1.0,1.0,1.0,1.0,0,1,1,3,1,1,267.0,10.0,10.2,1.0,0,16
31,9.0,22.0,22.0,2.0,1.0,1.0,1.0,1.0,1,0,0,2,0,2,95.0,43.0,43.4,0.0,0,0
41,14.0,40.0,40.3,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0,4,114.0,12.0,12.2,0.0,0,51
46,17.0,39.0,39.1,4.0,0.0,2.0,1.0,0.0,0,1,0,3,2,1,604.0,25.0,25.3,0.0,2,51
47,17.0,39.0,39.1,4.0,0.0,2.0,1.0,0.0,1,1,1,3,1,1,662.0,29.0,29.1,0.0,2,51
48,17.0,39.0,39.1,4.0,0.0,2.0,1.0,0.0,2,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,2,51
49,17.0,39.0,39.1,4.0,0.0,2.0,1.0,0.0,3,1,0,0,0,4,103.0,18.0,18.1,0.0,2,51
62,22.0,22.0,22.1,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,41
63,23.0,24.0,24.1,5.0,1.0,3.0,1.0,3.0,0,1,0,3,1,1,387.0,15.0,15.1,2.0,1,31
64,23.0,24.0,24.1,5.0,1.0,3.0,1.0,3.0,1,1,0,3,1,1,565.0,24.0,24.9,1.0,1,31
65,23.0,24.0,24.1,5.0,1.0,3.0,1.0,3.0,2,1,1,3,1,1,721.0,43.0,43.6,0.0,1,31
66,23.0,24.0,24.1,5.0,1.0,3.0,1.0,3.0,3,1,2,1,0,0,-1.0,-1.0,-1.0,-1.0,1,31
67,23.0,24.0,24.1,5.0,1.0,3.0,1.0,3.0,4,0,1,2,0,2,37.0,10.0,10.8,0.0,1,4
68,24.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0,1,0,3,1,1,300.0,19.0,19.4,0.0,0,41
102,37.0,47.0,47.9,2.0,1.0,1.0,1.0,0.0,0,1,1,3,1,1,337.0,7.0,7.5,3.0,0,21
103,37.0,47.0,47.9,2.0,1.0,1.0,1.0,0.0,1,0,1,2,0,2,81.0,46.0,46.9,0.0,0,4
109,40.0,30.0,30.0,4.0,2.0,1.0,1.0,0.0,0,1,1,3,1,1,834.0,46.0,46.8,0.0,2,21
110,40.0,30.0,30.0,4.0,2.0,1.0,1.0,0.0,1,1,0,3,1,1,217.0,10.0,10.3,0.0,2,21
111,40.0,30.0,30.0,4.0,2.0,1.0,1.0,0.0,2,0,0,2,0,2,12.0,28.0,28.2,0.0,2,4
112,40.0,30.0,30.0,4.0,2.0,1.0,1.0,0.0,3,0,0,2,0,2,24.0,10.0,10.7,0.0,2,4
113,41.0,43.0,43.4,4.0,0.0,1.0,1.0,2.0,0,1,1,3,2,1,418.0,19.0,19.5,0.0,3,51
