hh_index,zone_id,hh_count,hh_children,hh_people_in_work,hh_in_work,hh_income,hh_cars,p_hh_index,adult,gender,age,employment,occupation,main_activity,main_activity_id,mode
0.0,46.0,3.0,1.0,2.0,1.0,40000.0,1.0,0,1,1,37.0,3,1,1,701.0,0.0
0.0,46.0,3.0,1.0,2.0,1.0,40000.0,1.0,1,1,2,37.0,3,1,1,469.0,0.0
0.0,46.0,3.0,1.0,2.0,1.0,40000.0,1.0,2,0,0,7.0,2,0,2,185.0,0.0
1.0,62.0,4.0,1.0,2.0,1.0,120000.0,2.0,0,1,0,25.0,3,1,1,223.0,0.0
1.0,62.0,4.0,1.0,2.0,1.0,120000.0,2.0,1,1,0,28.0,3,1,1,307.0,0.0
1.0,62.0,4.0,1.0,2.0,1.0,120000.0,2.0,2,1,0,26.0,3,1,1,282.0,0.0
1.0,62.0,4.0,1.0,2.0,1.0,120000.0,2.0,3,0,0,8.0,2,0,2,187.0,3.0
2.0,52.0,2.0,0.0,0.0,0.0,17000.0,0.0,0,1,0,74.0,0,0,0,-1.0,-1.0
2.0,52.0,2.0,0.0,0.0,0.0,17000.0,0.0,1,1,0,75.0,0,0,5,89.0,0.0
3.0,15.0,4.0,1.0,2.0,1.0,65000.0,1.0,0,1,1,30.0,3,1,1,12.0,0.0
3.0,15.0,4.0,1.0,2.0,1.0,65000.0,1.0,1,1,0,32.0,3,1,1,492.0,0.0
3.0,15.0,4.0,1.0,2.0,1.0,65000.0,1.0,2,1,1,31.0,3,1,1,270.0,1.0
3.0,15.0,4.0,1.0,2.0,1.0,65000.0,1.0,3,0,1,6.0,2,0,2,457.0,0.0
4.0,63.0,5.0,3.0,2.0,1.0,90000.0,2.0,0,1,1,28.0,3,1,1,72.0,2.0
4.0,63.0,5.0,3.0,2.0,1.0,90000.0,2.0,1,1,1,29.0,3,1,1,921.0,1.0
4.0,63.0,5.0,3.0,2.0,1.0,90000.0,2.0,2,0,1,4.0,2,0,2,141.0,2.0
4.0,63.0,5.0,3.0,2.0,1.0,90000.0,2.0,3,0,0,6.0,2,0,2,0.0,0.0
4.0,63.0,5.0,3.0,2.0,1.0,90000.0,2.0,4,0,0,13.0,2,0,2,431.0,0.0
5.0,15.0,2.0,0.0,0.0,0.0,17000.0,0.0,0,1,0,65.0,0,0,4,581.0,0.0
