trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0-0,05:00:00,05:01:00,0092,0,0,0,0,,1
0-0,05:00:00,05:01:00,4492,1,1,0,0,,1
0-0,05:00:00,05:01:00,22102,2,2,0,0,,1
0-0,05:00:00,05:01:00,00102,3,3,0,0,,1
0-0,05:00:00,05:01:00,11102,4,4,0,0,,1
0-0,05:00:00,05:01:00,33108,5,5,0,0,,1
0-0,05:00:00,05:01:00,00108,6,6,0,0,,1
0-0,05:00:00,05:01:00,44108,7,7,0,0,,1
0-0,05:00:00,05:01:00,11109,8,8,0,0,,1
0-0,05:00:00,05:01:00,00109,9,9,0,0,,1
0-0,05:00:00,05:01:00,44109,10,10,0,0,,1
0-1,05:10:00,05:11:00,0092,0,0,0,0,,1
0-1,05:10:00,05:11:00,4492,1,1,0,0,,1
0-1,05:10:00,05:11:00,22102,2,2,0,0,,1
0-1,05:10:00,05:11:00,00102,3,3,0,0,,1
0-1,05:10:00,05:11:00,11102,4,4,0,0,,1
0-1,05:10:00,05:11:00,33108,5,5,0,0,,1
0-1,05:10:00,05:11:00,00108,6,6,0,0,,1
0-1,05:10:00,05:11:00,44108,7,7,0,0,,1
0-1,05:10:00,05:11:00,11109,8,8,0,0,,1
0-1,05:10:00,05:11:00,00109,9,9,0,0,,1
0-1,05:10:00,05:11:00,44109,10,10,0,0,,1
0-2,05:20:00,05:21:00,0092,0,0,0,0,,1
0-2,05:20:00,05:21:00,4492,1,1,0,0,,1
0-2,05:20:00,05:21:00,22102,2,2,0,0,,1
0-2,05:20:00,05:21:00,00102,3,3,0,0,,1
0-2,05:20:00,05:21:00,11102,4,4,0,0,,1
0-2,05:20:00,05:21:00,33108,5,5,0,0,,1
0-2,05:20:00,05:21:00,00108,6,6,0,0,,1
0-2,05:20:00,05:21:00,44108,7,7,0,0,,1
0-2,05:20:00,05:21:00,11109,8,8,0,0,,1
0-2,05:20:00,05:21:00,00109,9,9,0,0,,1
0-2,05:20:00,05:21:00,44109,10,10,0,0,,1
0-3,05:30:00,05:31:00,0092,0,0,0,0,,1
0-3,05:30:00,05:31:00,4492,1,1,0,0,,1
0-3,05:30:00,05:31:00,22102,2,2,0,0,,1
0-3,05:30:00,05:31:00,00102,3,3,0,0,,1
0-3,05:30:00,05:31:00,11102,4,4,0,0,,1
0-3,05:30:00,05:31:00,33108,5,5,0,0,,1
0-3,05:30:00,05:31:00,00108,6,6,0,0,,1
0-3,05:30:00,05:31:00,44108,7,7,0,0,,1
0-3,05:30:00,05:31:00,11109,8,8,0,0,,1
0-3,05:30:00,05:31:00,00109,9,9,0,0,,1
0-3,05:30:00,05:31:00,44109,10,10,0,0,,1
0-4,05:40:00,05:41:00,0092,0,0,0,0,,1
0-4,05:40:00,05:41:00,4492,1,1,0,0,,1
0-4,05:40:00,05:41:00,22102,2,2,0,0,,1
0-4,05:40:00,05:41:00,00102,3,3,0,0,,1
0-4,05:40:00,05:41:00,11102,4,4,0,0,,1
0-4,05:40:00,05:41:00,33108,5,5,0,0,,1
0-4,05:40:00,05:41:00,00108,6,6,0,0,,1
0-4,05:40:00,05:41:00,44108,7,7,0,0,,1
0-4,05:40:00,05:41:00,11109,8,8,0,0,,1
0-4,05:40:00,05:41:00,00109,9,9,0,0,,1
0-4,05:40:00,05:41:00,44109,10,10,0,0,,1
0-5,05:50:00,05:51:00,0092,0,0,0,0,,1
0-5,05:50:00,05:51:00,4492,1,1,0,0,,1
0-5,05:50:00,05:51:00,22102,2,2,0,0,,1
0-5,05:50:00,05:51:00,00102,3,3,0,0,,1
0-5,05:50:00,05:51:00,11102,4,4,0,0,,1
0-5,05:50:00,05:51:00,33108,5,5,0,0,,1
0-5,05:50:00,05:51:00,00108,6,6,0,0,,1
0-5,05:50:00,05:51:00,44108,7,7,0,0,,1
0-5,05:50:00,05:51:00,11109,8,8,0,0,,1
0-5,05:50:00,05:51:00,00109,9,9,0,0,,1
0-5,05:50:00,05:51:00,44109,10,10,0,0,,1
0-6,06:00:00,06:01:00,0092,0,0,0,0,,1
0-6,06:00:00,06:01:00,4492,1,1,0,0,,1
0-6,06:00:00,06:01:00,22102,2,2,0,0,,1
0-6,06:00:00,06:01:00,00102,3,3,0,0,,1
0-6,06:00:00,06:01:00,11102,4,4,0,0,,1
0-6,06:00:00,06:01:00,33108,5,5,0,0,,1
0-6,06:00:00,06:01:00,00108,6,6,0,0,,1
0-6,06:00:00,06:01:00,44108,7,7,0,0,,1
0-6,06:00:00,06:01:00,11109,8,8,0,0,,1
0-6,06:00:00,06:01:00,00109,9,9,0,0,,1
0-6,06:00:00,06:01:00,44109,10,10,0,0,,1
0-7,06:10:00,06:11:00,0092,0,0,0,0,,1
0-7,06:10:00,06:11:00,4492,1,1,0,0,,1
0-7,06:10:00,06:11:00,22102,2,2,0,0,,1
0-7,06:10:00,06:11:00,00102,3,3,0,0,,1
0-7,06:10:00,06:11:00,11102,4,4,0,0,,1
0-7,06:10:00,06:11:00,33108,5,5,0,0,,1
0-7,06:10:00,06:11:00,00108,6,6,0,0,,1
0-7,06:10:00,06:11:00,44108,7,7,0,0,,1
0-7,06:10:00,06:11:00,11109,8,8,0,0,,1
0-7,06:10:00,06:11:00,00109,9,9,0,0,,1
0-7,06:10:00,06:11:00,44109,10,10,0,0,,1
0-8,06:20:00,06:21:00,0092,0,0,0,0,,1
0-8,06:20:00,06:21:00,4492,1,1,0,0,,1
0-8,06:20:00,06:21:00,22102,2,2,0,0,,1
0-8,06:20:00,06:21:00,00102,3,3,0,0,,1
0-8,06:20:00,06:21:00,11102,4,4,0,0,,1
0-8,06:20:00,06:21:00,33108,5,5,0,0,,1
0-8,06:20:00,06:21:00,00108,6,6,0,0,,1
0-8,06:20:00,06:21:00,44108,7,7,0,0,,1
0-8,06:20:00,06:21:00,11109,8,8,0,0,,1
0-8,06:20:00,06:21:00,00109,9,9,0,0,,1
0-8,06:20:00,06:21:00,44109,10,10,0,0,,1
0-9,06:30:00,06:31:00,0092,0,0,0,0,,1
0-9,06:30:00,06:31:00,4492,1,1,0,0,,1
0-9,06:30:00,06:31:00,22102,2,2,0,0,,1
0-9,06:30:00,06:31:00,00102,3,3,0,0,,1
0-9,06:30:00,06:31:00,11102,4,4,0,0,,1
0-9,06:30:00,06:31:00,33108,5,5,0,0,,1
0-9,06:30:00,06:31:00,00108,6,6,0,0,,1
0-9,06:30:00,06:31:00,44108,7,7,0,0,,1
0-9,06:30:00,06:31:00,11109,8,8,0,0,,1
0-9,06:30:00,06:31:00,00109,9,9,0,0,,1
0-9,06:30:00,06:31:00,44109,10,10,0,0,,1
0-10,06:40:00,06:41:00,0092,0,0,0,0,,1
0-10,06:40:00,06:41:00,4492,1,1,0,0,,1
0-10,06:40:00,06:41:00,22102,2,2,0,0,,1
0-10,06:40:00,06:41:00,00102,3,3,0,0,,1
0-10,06:40:00,06:41:00,11102,4,4,0,0,,1
0-10,06:40:00,06:41:00,33108,5,5,0,0,,1
0-10,06:40:00,06:41:00,00108,6,6,0,0,,1
0-10,06:40:00,06:41:00,44108,7,7,0,0,,1
0-10,06:40:00,06:41:00,11109,8,8,0,0,,1
0-10,06:40:00,06:41:00,00109,9,9,0,0,,1
0-10,06:40:00,06:41:00,44109,10,10,0,0,,1
0-11,06:50:00,06:51:00,0092,0,0,0,0,,1
0-11,06:50:00,06:51:00,4492,1,1,0,0,,1
0-11,06:50:00,06:51:00,22102,2,2,0,0,,1
0-11,06:50:00,06:51:00,00102,3,3,0,0,,1
0-11,06:50:00,06:51:00,11102,4,4,0,0,,1
0-11,06:50:00,06:51:00,33108,5,5,0,0,,1
0-11,06:50:00,06:51:00,00108,6,6,0,0,,1
0-11,06:50:00,06:51:00,44108,7,7,0,0,,1
0-11,06:50:00,06:51:00,11109,8,8,0,0,,1
0-11,06:50:00,06:51:00,00109,9,9,0,0,,1
0-11,06:50:00,06:51:00,44109,10,10,0,0,,1
0-12,07:00:00,07:01:00,0092,0,0,0,0,,1
0-12,07:00:00,07:01:00,4492,1,1,0,0,,1
0-12,07:00:00,07:01:00,22102,2,2,0,0,,1
0-12,07:00:00,07:01:00,00102,3,3,0,0,,1
0-12,07:00:00,07:01:00,11102,4,4,0,0,,1
0-12,07:00:00,07:01:00,33108,5,5,0,0,,1
0-12,07:00:00,07:01:00,00108,6,6,0,0,,1
0-12,07:00:00,07:01:00,44108,7,7,0,0,,1
0-12,07:00:00,07:01:00,11109,8,8,0,0,,1
0-12,07:00:00,07:01:00,00109,9,9,0,0,,1
0-12,07:00:00,07:01:00,44109,10,10,0,0,,1
0-13,07:10:00,07:11:00,0092,0,0,0,0,,1
0-13,07:10:00,07:11:00,4492,1,1,0,0,,1
0-13,07:10:00,07:11:00,22102,2,2,0,0,,1
0-13,07:10:00,07:11:00,00102,3,3,0,0,,1
0-13,07:10:00,07:11:00,11102,4,4,0,0,,1
0-13,07:10:00,07:11:00,33108,5,5,0,0,,1
0-13,07:10:00,07:11:00,00108,6,6,0,0,,1
0-13,07:10:00,07:11:00,44108,7,7,0,0,,1
0-13,07:10:00,07:11:00,11109,8,8,0,0,,1
0-13,07:10:00,07:11:00,00109,9,9,0,0,,1
0-13,07:10:00,07:11:00,44109,10,10,0,0,,1
0-14,07:20:00,07:21:00,0092,0,0,0,0,,1
0-14,07:20:00,07:21:00,4492,1,1,0,0,,1
0-14,07:20:00,07:21:00,22102,2,2,0,0,,1
0-14,07:20:00,07:21:00,00102,3,3,0,0,,1
0-14,07:20:00,07:21:00,11102,4,4,0,0,,1
0-14,07:20:00,07:21:00,33108,5,5,0,0,,1
0-14,07:20:00,07:21:00,00108,6,6,0,0,,1
0-14,07:20:00,07:21:00,44108,7,7,0,0,,1
0-14,07:20:00,07:21:00,11109,8,8,0,0,,1
0-14,07:20:00,07:21:00,00109,9,9,0,0,,1
0-14,07:20:00,07:21:00,44109,10,10,0,0,,1
0-15,07:30:00,07:31:00,0092,0,0,0,0,,1
0-15,07:30:00,07:31:00,4492,1,1,0,0,,1
0-15,07:30:00,07:31:00,22102,2,2,0,0,,1
0-15,07:30:00,07:31:00,00102,3,3,0,0,,1
0-15,07:30:00,07:31:00,11102,4,4,0,0,,1
0-15,07:30:00,07:31:00,33108,5,5,0,0,,1
0-15,07:30:00,07:31:00,00108,6,6,0,0,,1
0-15,07:30:00,07:31:00,44108,7,7,0,0,,1
0-15,07:30:00,07:31:00,11109,8,8,0,0,,1
0-15,07:30:00,07:31:00,00109,9,9,0,0,,1
0-15,07:30:00,07:31:00,44109,10,10,0,0,,1
0-16,07:40:00,07:41:00,0092,0,0,0,0,,1
0-16,07:40:00,07:41:00,4492,1,1,0,0,,1
0-16,07:40:00,07:41:00,22102,2,2,0,0,,1
0-16,07:40:00,07:41:00,00102,3,3,0,0,,1
0-16,07:40:00,07:41:00,11102,4,4,0,0,,1
0-16,07:40:00,07:41:00,33108,5,5,0,0,,1
0-16,07:40:00,07:41:00,00108,6,6,0,0,,1
0-16,07:40:00,07:41:00,44108,7,7,0,0,,1
0-16,07:40:00,07:41:00,11109,8,8,0,0,,1
0-16,07:40:00,07:41:00,00109,9,9,0,0,,1
0-16,07:40:00,07:41:00,44109,10,10,0,0,,1
0-17,07:50:00,07:51:00,0092,0,0,0,0,,1
0-17,07:50:00,07:51:00,4492,1,1,0,0,,1
0-17,07:50:00,07:51:00,22102,2,2,0,0,,1
0-17,07:50:00,07:51:00,00102,3,3,0,0,,1
0-17,07:50:00,07:51:00,11102,4,4,0,0,,1
0-17,07:50:00,07:51:00,33108,5,5,0,0,,1
0-17,07:50:00,07:51:00,00108,6,6,0,0,,1
0-17,07:50:00,07:51:00,44108,7,7,0,0,,1
0-17,07:50:00,07:51:00,11109,8,8,0,0,,1
0-17,07:50:00,07:51:00,00109,9,9,0,0,,1
0-17,07:50:00,07:51:00,44109,10,10,0,0,,1
0-18,08:00:00,08:01:00,0092,0,0,0,0,,1
0-18,08:00:00,08:01:00,4492,1,1,0,0,,1
0-18,08:00:00,08:01:00,22102,2,2,0,0,,1
0-18,08:00:00,08:01:00,00102,3,3,0,0,,1
0-18,08:00:00,08:01:00,11102,4,4,0,0,,1
0-18,08:00:00,08:01:00,33108,5,5,0,0,,1
0-18,08:00:00,08:01:00,00108,6,6,0,0,,1
0-18,08:00:00,08:01:00,44108,7,7,0,0,,1
0-18,08:00:00,08:01:00,11109,8,8,0,0,,1
0-18,08:00:00,08:01:00,00109,9,9,0,0,,1
0-18,08:00:00,08:01:00,44109,10,10,0,0,,1
0-19,08:10:00,08:11:00,0092,0,0,0,0,,1
0-19,08:10:00,08:11:00,4492,1,1,0,0,,1
0-19,08:10:00,08:11:00,22102,2,2,0,0,,1
0-19,08:10:00,08:11:00,00102,3,3,0,0,,1
0-19,08:10:00,08:11:00,11102,4,4,0,0,,1
0-19,08:10:00,08:11:00,33108,5,5,0,0,,1
0-19,08:10:00,08:11:00,00108,6,6,0,0,,1
0-19,08:10:00,08:11:00,44108,7,7,0,0,,1
0-19,08:10:00,08:11:00,11109,8,8,0,0,,1
0-19,08:10:00,08:11:00,00109,9,9,0,0,,1
0-19,08:10:00,08:11:00,44109,10,10,0,0,,1
0-20,08:20:00,08:21:00,0092,0,0,0,0,,1
0-20,08:20:00,08:21:00,4492,1,1,0,0,,1
0-20,08:20:00,08:21:00,22102,2,2,0,0,,1
0-20,08:20:00,08:21:00,00102,3,3,0,0,,1
0-20,08:20:00,08:21:00,11102,4,4,0,0,,1
