trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0-0,05:00:00,05:01:00,78,0,0,0,0,,1
0-0,05:00:00,05:01:00,48,1,1,0,0,,1
0-0,05:00:00,05:01:00,47,2,2,0,0,,1
0-0,05:00:00,05:01:00,44,3,3,0,0,,1
0-0,05:00:00,05:01:00,41,4,4,0,0,,1
0-0,05:00:00,05:01:00,39,5,5,0,0,,1
0-0,05:00:00,05:01:00,43,6,6,0,0,,1
0-0,05:00:00,05:01:00,12,7,7,0,0,,1
0-0,05:00:00,05:01:00,3,8,8,0,0,,1
0-0,05:00:00,05:01:00,2,9,9,0,0,,1
0-0,05:00:00,05:01:00,28,10,10,0,0,,1
0-0,05:00:00,05:01:00,27,11,11,0,0,,1
0-1,05:30:00,05:31:00,78,0,0,0,0,,1
0-1,05:30:00,05:31:00,48,1,1,0,0,,1
0-1,05:30:00,05:31:00,47,2,2,0,0,,1
0-1,05:30:00,05:31:00,44,3,3,0,0,,1
0-1,05:30:00,05:31:00,41,4,4,0,0,,1
0-1,05:30:00,05:31:00,39,5,5,0,0,,1
0-1,05:30:00,05:31:00,43,6,6,0,0,,1
0-1,05:30:00,05:31:00,12,7,7,0,0,,1
0-1,05:30:00,05:31:00,3,8,8,0,0,,1
0-1,05:30:00,05:31:00,2,9,9,0,0,,1
0-1,05:30:00,05:31:00,28,10,10,0,0,,1
0-1,05:30:00,05:31:00,27,11,11,0,0,,1
0-2,06:00:00,06:01:00,78,0,0,0,0,,1
0-2,06:00:00,06:01:00,48,1,1,0,0,,1
0-2,06:00:00,06:01:00,47,2,2,0,0,,1
0-2,06:00:00,06:01:00,44,3,3,0,0,,1
0-2,06:00:00,06:01:00,41,4,4,0,0,,1
0-2,06:00:00,06:01:00,39,5,5,0,0,,1
0-2,06:00:00,06:01:00,43,6,6,0,0,,1
0-2,06:00:00,06:01:00,12,7,7,0,0,,1
0-2,06:00:00,06:01:00,3,8,8,0,0,,1
0-2,06:00:00,06:01:00,2,9,9,0,0,,1
0-2,06:00:00,06:01:00,28,10,10,0,0,,1
0-2,06:00:00,06:01:00,27,11,11,0,0,,1
0-3,06:30:00,06:31:00,78,0,0,0,0,,1
0-3,06:30:00,06:31:00,48,1,1,0,0,,1
0-3,06:30:00,06:31:00,47,2,2,0,0,,1
0-3,06:30:00,06:31:00,44,3,3,0,0,,1
0-3,06:30:00,06:31:00,41,4,4,0,0,,1
0-3,06:30:00,06:31:00,39,5,5,0,0,,1
0-3,06:30:00,06:31:00,43,6,6,0,0,,1
0-3,06:30:00,06:31:00,12,7,7,0,0,,1
0-3,06:30:00,06:31:00,3,8,8,0,0,,1
0-3,06:30:00,06:31:00,2,9,9,0,0,,1
0-3,06:30:00,06:31:00,28,10,10,0,0,,1
0-3,06:30:00,06:31:00,27,11,11,0,0,,1
0-4,07:00:00,07:01:00,78,0,0,0,0,,1
0-4,07:00:00,07:01:00,48,1,1,0,0,,1
0-4,07:00:00,07:01:00,47,2,2,0,0,,1
0-4,07:00:00,07:01:00,44,3,3,0,0,,1
0-4,07:00:00,07:01:00,41,4,4,0,0,,1
0-4,07:00:00,07:01:00,39,5,5,0,0,,1
0-4,07:00:00,07:01:00,43,6,6,0,0,,1
0-4,07:00:00,07:01:00,12,7,7,0,0,,1
0-4,07:00:00,07:01:00,3,8,8,0,0,,1
0-4,07:00:00,07:01:00,2,9,9,0,0,,1
0-4,07:00:00,07:01:00,28,10,10,0,0,,1
0-4,07:00:00,07:01:00,27,11,11,0,0,,1
0-5,07:30:00,07:31:00,78,0,0,0,0,,1
0-5,07:30:00,07:31:00,48,1,1,0,0,,1
0-5,07:30:00,07:31:00,47,2,2,0,0,,1
0-5,07:30:00,07:31:00,44,3,3,0,0,,1
0-5,07:30:00,07:31:00,41,4,4,0,0,,1
0-5,07:30:00,07:31:00,39,5,5,0,0,,1
0-5,07:30:00,07:31:00,43,6,6,0,0,,1
0-5,07:30:00,07:31:00,12,7,7,0,0,,1
0-5,07:30:00,07:31:00,3,8,8,0,0,,1
0-5,07:30:00,07:31:00,2,9,9,0,0,,1
0-5,07:30:00,07:31:00,28,10,10,0,0,,1
0-5,07:30:00,07:31:00,27,11,11,0,0,,1
0-6,08:00:00,08:01:00,78,0,0,0,0,,1
0-6,08:00:00,08:01:00,48,1,1,0,0,,1
0-6,08:00:00,08:01:00,47,2,2,0,0,,1
0-6,08:00:00,08:01:00,44,3,3,0,0,,1
0-6,08:00:00,08:01:00,41,4,4,0,0,,1
0-6,08:00:00,08:01:00,39,5,5,0,0,,1
0-6,08:00:00,08:01:00,43,6,6,0,0,,1
0-6,08:00:00,08:01:00,12,7,7,0,0,,1
0-6,08:00:00,08:01:00,3,8,8,0,0,,1
0-6,08:00:00,08:01:00,2,9,9,0,0,,1
0-6,08:00:00,08:01:00,28,10,10,0,0,,1
0-6,08:00:00,08:01:00,27,11,11,0,0,,1
0-7,08:30:00,08:31:00,78,0,0,0,0,,1
0-7,08:30:00,08:31:00,48,1,1,0,0,,1
0-7,08:30:00,08:31:00,47,2,2,0,0,,1
0-7,08:30:00,08:31:00,44,3,3,0,0,,1
0-7,08:30:00,08:31:00,41,4,4,0,0,,1
0-7,08:30:00,08:31:00,39,5,5,0,0,,1
0-7,08:30:00,08:31:00,43,6,6,0,0,,1
0-7,08:30:00,08:31:00,12,7,7,0,0,,1
0-7,08:30:00,08:31:00,3,8,8,0,0,,1
0-7,08:30:00,08:31:00,2,9,9,0,0,,1
0-7,08:30:00,08:31:00,28,10,10,0,0,,1
0-7,08:30:00,08:31:00,27,11,11,0,0,,1
0-8,09:00:00,09:01:00,78,0,0,0,0,,1
0-8,09:00:00,09:01:00,48,1,1,0,0,,1
0-8,09:00:00,09:01:00,47,2,2,0,0,,1
0-8,09:00:00,09:01:00,44,3,3,0,0,,1
0-8,09:00:00,09:01:00,41,4,4,0,0,,1
0-8,09:00:00,09:01:00,39,5,5,0,0,,1
0-8,09:00:00,09:01:00,43,6,6,0,0,,1
0-8,09:00:00,09:01:00,12,7,7,0,0,,1
0-8,09:00:00,09:01:00,3,8,8,0,0,,1
0-8,09:00:00,09:01:00,2,9,9,0,0,,1
0-8,09:00:00,09:01:00,28,10,10,0,0,,1
0-8,09:00:00,09:01:00,27,11,11,0,0,,1
0-9,09:30:00,09:31:00,78,0,0,0,0,,1
0-9,09:30:00,09:31:00,48,1,1,0,0,,1
0-9,09:30:00,09:31:00,47,2,2,0,0,,1
0-9,09:30:00,09:31:00,44,3,3,0,0,,1
0-9,09:30:00,09:31:00,41,4,4,0,0,,1
0-9,09:30:00,09:31:00,39,5,5,0,0,,1
0-9,09:30:00,09:31:00,43,6,6,0,0,,1
0-9,09:30:00,09:31:00,12,7,7,0,0,,1
0-9,09:30:00,09:31:00,3,8,8,0,0,,1
0-9,09:30:00,09:31:00,2,9,9,0,0,,1
0-9,09:30:00,09:31:00,28,10,10,0,0,,1
0-9,09:30:00,09:31:00,27,11,11,0,0,,1
0-10,10:00:00,10:01:00,78,0,0,0,0,,1
0-10,10:00:00,10:01:00,48,1,1,0,0,,1
0-10,10:00:00,10:01:00,47,2,2,0,0,,1
0-10,10:00:00,10:01:00,44,3,3,0,0,,1
0-10,10:00:00,10:01:00,41,4,4,0,0,,1
0-10,10:00:00,10:01:00,39,5,5,0,0,,1
0-10,10:00:00,10:01:00,43,6,6,0,0,,1
0-10,10:00:00,10:01:00,12,7,7,0,0,,1
0-10,10:00:00,10:01:00,3,8,8,0,0,,1
0-10,10:00:00,10:01:00,2,9,9,0,0,,1
0-10,10:00:00,10:01:00,28,10,10,0,0,,1
0-10,10:00:00,10:01:00,27,11,11,0,0,,1
0-11,10:30:00,10:31:00,78,0,0,0,0,,1
0-11,10:30:00,10:31:00,48,1,1,0,0,,1
0-11,10:30:00,10:31:00,47,2,2,0,0,,1
0-11,10:30:00,10:31:00,44,3,3,0,0,,1
0-11,10:30:00,10:31:00,41,4,4,0,0,,1
0-11,10:30:00,10:31:00,39,5,5,0,0,,1
0-11,10:30:00,10:31:00,43,6,6,0,0,,1
0-11,10:30:00,10:31:00,12,7,7,0,0,,1
0-11,10:30:00,10:31:00,3,8,8,0,0,,1
0-11,10:30:00,10:31:00,2,9,9,0,0,,1
0-11,10:30:00,10:31:00,28,10,10,0,0,,1
0-11,10:30:00,10:31:00,27,11,11,0,0,,1
0-12,11:00:00,11:01:00,78,0,0,0,0,,1
0-12,11:00:00,11:01:00,48,1,1,0,0,,1
0-12,11:00:00,11:01:00,47,2,2,0,0,,1
0-12,11:00:00,11:01:00,44,3,3,0,0,,1
0-12,11:00:00,11:01:00,41,4,4,0,0,,1
0-12,11:00:00,11:01:00,39,5,5,0,0,,1
0-12,11:00:00,11:01:00,43,6,6,0,0,,1
0-12,11:00:00,11:01:00,12,7,7,0,0,,1
0-12,11:00:00,11:01:00,3,8,8,0,0,,1
0-12,11:00:00,11:01:00,2,9,9,0,0,,1
0-12,11:00:00,11:01:00,28,10,10,0,0,,1
0-12,11:00:00,11:01:00,27,11,11,0,0,,1
0-13,11:30:00,11:31:00,78,0,0,0,0,,1
0-13,11:30:00,11:31:00,48,1,1,0,0,,1
0-13,11:30:00,11:31:00,47,2,2,0,0,,1
0-13,11:30:00,11:31:00,44,3,3,0,0,,1
0-13,11:30:00,11:31:00,41,4,4,0,0,,1
0-13,11:30:00,11:31:00,39,5,5,0,0,,1
0-13,11:30:00,11:31:00,43,6,6,0,0,,1
0-13,11:30:00,11:31:00,12,7,7,0,0,,1
0-13,11:30:00,11:31:00,3,8,8,0,0,,1
0-13,11:30:00,11:31:00,2,9,9,0,0,,1
0-13,11:30:00,11:31:00,28,10,10,0,0,,1
0-13,11:30:00,11:31:00,27,11,11,0,0,,1
0-14,12:00:00,12:01:00,78,0,0,0,0,,1
0-14,12:00:00,12:01:00,48,1,1,0,0,,1
0-14,12:00:00,12:01:00,47,2,2,0,0,,1
0-14,12:00:00,12:01:00,44,3,3,0,0,,1
0-14,12:00:00,12:01:00,41,4,4,0,0,,1
0-14,12:00:00,12:01:00,39,5,5,0,0,,1
0-14,12:00:00,12:01:00,43,6,6,0,0,,1
0-14,12:00:00,12:01:00,12,7,7,0,0,,1
0-14,12:00:00,12:01:00,3,8,8,0,0,,1
0-14,12:00:00,12:01:00,2,9,9,0,0,,1
0-14,12:00:00,12:01:00,28,10,10,0,0,,1
0-14,12:00:00,12:01:00,27,11,11,0,0,,1
0-15,12:30:00,12:31:00,78,0,0,0,0,,1
0-15,12:30:00,12:31:00,48,1,1,0,0,,1
0-15,12:30:00,12:31:00,47,2,2,0,0,,1
0-15,12:30:00,12:31:00,44,3,3,0,0,,1
0-15,12:30:00,12:31:00,41,4,4,0,0,,1
0-15,12:30:00,12:31:00,39,5,5,0,0,,1
0-15,12:30:00,12:31:00,43,6,6,0,0,,1
0-15,12:30:00,12:31:00,12,7,7,0,0,,1
0-15,12:30:00,12:31:00,3,8,8,0,0,,1
0-15,12:30:00,12:31:00,2,9,9,0,0,,1
0-15,12:30:00,12:31:00,28,10,10,0,0,,1
0-15,12:30:00,12:31:00,27,11,11,0,0,,1
0-16,13:00:00,13:01:00,78,0,0,0,0,,1
0-16,13:00:00,13:01:00,48,1,1,0,0,,1
0-16,13:00:00,13:01:00,47,2,2,0,0,,1
0-16,13:00:00,13:01:00,44,3,3,0,0,,1
0-16,13:00:00,13:01:00,41,4,4,0,0,,1
0-16,13:00:00,13:01:00,39,5,5,0,0,,1
0-16,13:00:00,13:01:00,43,6,6,0,0,,1
0-16,13:00:00,13:01:00,12,7,7,0,0,,1
0-16,13:00:00,13:01:00,3,8,8,0,0,,1
0-16,13:00:00,13:01:00,2,9,9,0,0,,1
0-16,13:00:00,13:01:00,28,10,10,0,0,,1
0-16,13:00:00,13:01:00,27,11,11,0,0,,1
