route_id,service_id,trip_id,trip_headsign,block_id,wheelchair_accessible,trip_direction_name,exceptional
0,0,0-0,0-0,0-0,NA,NA,NA
0,0,0-1,0-1,0-1,NA,NA,NA
0,0,0-2,0-2,0-2,NA,NA,NA
0,0,0-3,0-3,0-3,NA,NA,NA
0,0,0-4,0-4,0-4,NA,NA,NA
0,0,0-5,0-5,0-5,NA,NA,NA
0,0,0-6,0-6,0-6,NA,NA,NA
0,0,0-7,0-7,0-7,NA,NA,NA
0,0,0-8,0-8,0-8,NA,NA,NA
0,0,0-9,0-9,0-9,NA,NA,NA
0,0,0-10,0-10,0-10,NA,NA,NA
0,0,0-11,0-11,0-11,NA,NA,NA
0,0,0-12,0-12,0-12,NA,NA,NA
0,0,0-13,0-13,0-13,NA,NA,NA
0,0,0-14,0-14,0-14,NA,NA,NA
0,0,0-15,0-15,0-15,NA,NA,NA
0,0,0-16,0-16,0-16,NA,NA,NA
0,0,0-17,0-17,0-17,NA,NA,NA
0,0,0-18,0-18,0-18,NA,NA,NA
0,0,0-19,0-19,0-19,NA,NA,NA
0,0,0-20,0-20,0-20,NA,NA,NA
0,0,0-21,0-21,0-21,NA,NA,NA
0,0,0-22,0-22,0-22,NA,NA,NA
0,0,0-23,0-23,0-23,NA,NA,NA
0,0,0-24,0-24,0-24,NA,NA,NA
0,0,0-25,0-25,0-25,NA,NA,NA
0,0,0-26,0-26,0-26,NA,NA,NA
0,0,0-27,0-27,0-27,NA,NA,NA
0,0,0-28,0-28,0-28,NA,NA,NA
0,0,0-29,0-29,0-29,NA,NA,NA
0,0,0-30,0-30,0-30,NA,NA,NA
0,0,0-31,0-31,0-31,NA,NA,NA
0,0,0-32,0-32,0-32,NA,NA,NA
0,0,0-33,0-33,0-33,NA,NA,NA
1,1,1-0,1-0,1-0,NA,NA,NA
1,1,1-1,1-1,1-1,NA,NA,NA
1,1,1-2,1-2,1-2,NA,NA,NA
1,1,1-3,1-3,1-3,NA,NA,NA
1,1,1-4,1-4,1-4,NA,NA,NA
1,1,1-5,1-5,1-5,NA,NA,NA
1,1,1-6,1-6,1-6,NA,NA,NA
1,1,1-7,1-7,1-7,NA,NA,NA
1,1,1-8,1-8,1-8,NA,NA,NA
1,1,1-9,1-9,1-9,NA,NA,NA
1,1,1-10,1-10,1-10,NA,NA,NA
1,1,1-11,1-11,1-11,NA,NA,NA
1,1,1-12,1-12,1-12,NA,NA,NA
1,1,1-13,1-13,1-13,NA,NA,NA
1,1,1-14,1-14,1-14,NA,NA,NA
1,1,1-15,1-15,1-15,NA,NA,NA
1,1,1-16,1-16,1-16,NA,NA,NA
1,1,1-17,1-17,1-17,NA,NA,NA
1,1,1-18,1-18,1-18,NA,NA,NA
1,1,1-19,1-19,1-19,NA,NA,NA
1,1,1-20,1-20,1-20,NA,NA,NA
1,1,1-21,1-21,1-21,NA,NA,NA
1,1,1-22,1-22,1-22,NA,NA,NA
1,1,1-23,1-23,1-23,NA,NA,NA
1,1,1-24,1-24,1-24,NA,NA,NA
1,1,1-25,1-25,1-25,NA,NA,NA
