,hh_index,area_id,zone_id,hh_count,hh_children,hh_people_in_work,hh_in_work,hh_income,hh_cars,p_hh_index,adult,gender,age,employment,occupation,main_activity,main_activity_id,main_facility_area,main_facility_zone,mode,hh_income_bin,age_bin
0,0.0,4.0,4.5,5.0,0.0,1.0,yes,170000.0,2.0,0,16+,female,59.0,employment,skilled,work,78.0,10.0,10.0,car,high,51-61
1,0.0,4.0,4.5,5.0,0.0,1.0,yes,170000.0,2.0,1,16+,male,56.0,retired,none,leisure,82.0,8.0,8.2,car,high,51-61
2,0.0,4.0,4.5,5.0,0.0,1.0,yes,170000.0,2.0,2,16+,female,57.0,retired,none,None,-1.0,-1.0,-1.0,,high,51-61
3,0.0,4.0,4.5,5.0,0.0,1.0,yes,170000.0,2.0,3,16+,male,60.0,retired,none,leisure,85.0,8.0,8.2,car,high,51-61
4,0.0,4.0,4.5,5.0,0.0,1.0,yes,170000.0,2.0,4,16+,female,56.0,retired,none,None,-1.0,-1.0,-1.0,,high,51-61
5,1.0,4.0,4.3,5.0,1.0,4.0,yes,130000.0,2.0,0,16+,male,24.0,employment,unskilled,work,169.0,8.0,8.3,car,high,21-31
6,1.0,4.0,4.3,5.0,1.0,4.0,yes,130000.0,2.0,1,16+,female,23.0,employment,unskilled,work,155.0,5.0,5.0,car,high,21-31
7,1.0,4.0,4.3,5.0,1.0,4.0,yes,130000.0,2.0,2,16+,female,23.0,employment,unskilled,work,93.0,10.0,10.1,car,high,21-31
8,1.0,4.0,4.3,5.0,1.0,4.0,yes,130000.0,2.0,3,16+,female,23.0,employment,unskilled,work,20.0,4.0,4.4,car,high,21-31
9,1.0,4.0,4.3,5.0,1.0,4.0,yes,130000.0,2.0,4,under16,female,9.0,education,none,health,14.0,2.0,2.3,car,high,4-13
10,2.0,5.0,5.1,4.0,1.0,2.0,yes,125000.0,1.0,0,16+,female,33.0,employment,skilled,work,166.0,10.0,10.3,car,high,31-41
11,2.0,5.0,5.1,4.0,1.0,2.0,yes,125000.0,1.0,1,16+,male,31.0,employment,unskilled,work,164.0,10.0,10.5,car,high,21-31
12,2.0,5.0,5.1,4.0,1.0,2.0,yes,125000.0,1.0,2,16+,female,31.0,employment,unskilled,work,33.0,4.0,4.4,car,high,21-31
13,2.0,5.0,5.1,4.0,1.0,2.0,yes,125000.0,1.0,3,under16,female,4.0,education,none,health,1.0,4.0,4.5,car,high,0-4
14,3.0,4.0,4.5,2.0,0.0,2.0,yes,60000.0,0.0,0,16+,male,61.0,employment,unskilled,work,168.0,5.0,5.3,car,mid,51-61
15,3.0,4.0,4.5,2.0,0.0,2.0,yes,60000.0,0.0,1,16+,female,60.0,employment,unskilled,work,159.0,5.0,5.3,car,mid,51-61
16,4.0,4.0,4.3,2.0,1.0,0.0,noone,18000.0,1.0,0,16+,male,43.0,unemployed,none,None,-1.0,-1.0,-1.0,,low,41-51
17,4.0,4.0,4.3,2.0,1.0,0.0,noone,18000.0,1.0,1,under16,male,10.0,education,none,education,45.0,2.0,2.0,car,low,4-13
18,5.0,4.0,4.5,4.0,0.0,2.0,yes,65000.0,2.0,0,16+,female,66.0,employment,unskilled,work,108.0,10.0,10.0,car,mid,61-71
19,5.0,4.0,4.5,4.0,0.0,2.0,yes,65000.0,2.0,1,16+,male,65.0,employment,unskilled,work,8.0,4.0,4.5,car,mid,61-71
20,5.0,4.0,4.5,4.0,0.0,2.0,yes,65000.0,2.0,2,16+,male,69.0,retired,none,health,1.0,4.0,4.5,car,mid,61-71
21,5.0,4.0,4.5,4.0,0.0,2.0,yes,65000.0,2.0,3,16+,male,64.0,retired,none,health,13.0,2.0,2.0,car,mid,61-71
22,6.0,4.0,4.1,5.0,0.0,3.0,yes,155000.0,4.0,0,16+,male,52.0,employment,skilled,work,19.0,4.0,4.2,car,high,51-61
23,6.0,4.0,4.1,5.0,0.0,3.0,yes,155000.0,4.0,1,16+,male,53.0,employment,unskilled,work,0.0,4.0,4.5,car,high,51-61
24,6.0,4.0,4.1,5.0,0.0,3.0,yes,155000.0,4.0,2,16+,male,52.0,employment,unskilled,work,1.0,4.0,4.2,car,high,51-61
