trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0-0,05:00:00,05:01:00,1156,0,0,0,0,,1
0-0,05:00:00,05:01:00,330,1,1,0,0,,1
0-0,05:00:00,05:01:00,000,2,2,0,0,,1
0-0,05:00:00,05:01:00,110,3,3,0,0,,1
0-0,05:00:00,05:01:00,3318,4,4,0,0,,1
0-0,05:00:00,05:01:00,0018,5,5,0,0,,1
0-0,05:00:00,05:01:00,4418,6,6,0,0,,1
0-0,05:00:00,05:01:00,2232,7,7,0,0,,1
0-0,05:00:00,05:01:00,0032,8,8,0,0,,1
0-0,05:00:00,05:01:00,4432,9,9,0,0,,1
0-0,05:00:00,05:01:00,2234,10,10,0,0,,1
0-0,05:00:00,05:01:00,0034,11,11,0,0,,1
0-0,05:00:00,05:01:00,1134,12,12,0,0,,1
0-1,05:10:00,05:11:00,1156,0,0,0,0,,1
0-1,05:10:00,05:11:00,330,1,1,0,0,,1
0-1,05:10:00,05:11:00,000,2,2,0,0,,1
0-1,05:10:00,05:11:00,110,3,3,0,0,,1
0-1,05:10:00,05:11:00,3318,4,4,0,0,,1
0-1,05:10:00,05:11:00,0018,5,5,0,0,,1
0-1,05:10:00,05:11:00,4418,6,6,0,0,,1
0-1,05:10:00,05:11:00,2232,7,7,0,0,,1
0-1,05:10:00,05:11:00,0032,8,8,0,0,,1
0-1,05:10:00,05:11:00,4432,9,9,0,0,,1
0-1,05:10:00,05:11:00,2234,10,10,0,0,,1
0-1,05:10:00,05:11:00,0034,11,11,0,0,,1
0-1,05:10:00,05:11:00,1134,12,12,0,0,,1
0-2,05:20:00,05:21:00,1156,0,0,0,0,,1
0-2,05:20:00,05:21:00,330,1,1,0,0,,1
0-2,05:20:00,05:21:00,000,2,2,0,0,,1
0-2,05:20:00,05:21:00,110,3,3,0,0,,1
0-2,05:20:00,05:21:00,3318,4,4,0,0,,1
0-2,05:20:00,05:21:00,0018,5,5,0,0,,1
0-2,05:20:00,05:21:00,4418,6,6,0,0,,1
0-2,05:20:00,05:21:00,2232,7,7,0,0,,1
0-2,05:20:00,05:21:00,0032,8,8,0,0,,1
0-2,05:20:00,05:21:00,4432,9,9,0,0,,1
0-2,05:20:00,05:21:00,2234,10,10,0,0,,1
0-2,05:20:00,05:21:00,0034,11,11,0,0,,1
0-2,05:20:00,05:21:00,1134,12,12,0,0,,1
0-3,05:30:00,05:31:00,1156,0,0,0,0,,1
0-3,05:30:00,05:31:00,330,1,1,0,0,,1
0-3,05:30:00,05:31:00,000,2,2,0,0,,1
0-3,05:30:00,05:31:00,110,3,3,0,0,,1
0-3,05:30:00,05:31:00,3318,4,4,0,0,,1
0-3,05:30:00,05:31:00,0018,5,5,0,0,,1
0-3,05:30:00,05:31:00,4418,6,6,0,0,,1
0-3,05:30:00,05:31:00,2232,7,7,0,0,,1
0-3,05:30:00,05:31:00,0032,8,8,0,0,,1
0-3,05:30:00,05:31:00,4432,9,9,0,0,,1
0-3,05:30:00,05:31:00,2234,10,10,0,0,,1
0-3,05:30:00,05:31:00,0034,11,11,0,0,,1
0-3,05:30:00,05:31:00,1134,12,12,0,0,,1
0-4,05:40:00,05:41:00,1156,0,0,0,0,,1
0-4,05:40:00,05:41:00,330,1,1,0,0,,1
0-4,05:40:00,05:41:00,000,2,2,0,0,,1
0-4,05:40:00,05:41:00,110,3,3,0,0,,1
0-4,05:40:00,05:41:00,3318,4,4,0,0,,1
0-4,05:40:00,05:41:00,0018,5,5,0,0,,1
0-4,05:40:00,05:41:00,4418,6,6,0,0,,1
0-4,05:40:00,05:41:00,2232,7,7,0,0,,1
0-4,05:40:00,05:41:00,0032,8,8,0,0,,1
0-4,05:40:00,05:41:00,4432,9,9,0,0,,1
0-4,05:40:00,05:41:00,2234,10,10,0,0,,1
0-4,05:40:00,05:41:00,0034,11,11,0,0,,1
0-4,05:40:00,05:41:00,1134,12,12,0,0,,1
0-5,05:50:00,05:51:00,1156,0,0,0,0,,1
0-5,05:50:00,05:51:00,330,1,1,0,0,,1
0-5,05:50:00,05:51:00,000,2,2,0,0,,1
0-5,05:50:00,05:51:00,110,3,3,0,0,,1
0-5,05:50:00,05:51:00,3318,4,4,0,0,,1
0-5,05:50:00,05:51:00,0018,5,5,0,0,,1
0-5,05:50:00,05:51:00,4418,6,6,0,0,,1
0-5,05:50:00,05:51:00,2232,7,7,0,0,,1
0-5,05:50:00,05:51:00,0032,8,8,0,0,,1
0-5,05:50:00,05:51:00,4432,9,9,0,0,,1
0-5,05:50:00,05:51:00,2234,10,10,0,0,,1
0-5,05:50:00,05:51:00,0034,11,11,0,0,,1
0-5,05:50:00,05:51:00,1134,12,12,0,0,,1
0-6,06:00:00,06:01:00,1156,0,0,0,0,,1
0-6,06:00:00,06:01:00,330,1,1,0,0,,1
0-6,06:00:00,06:01:00,000,2,2,0,0,,1
0-6,06:00:00,06:01:00,110,3,3,0,0,,1
0-6,06:00:00,06:01:00,3318,4,4,0,0,,1
0-6,06:00:00,06:01:00,0018,5,5,0,0,,1
0-6,06:00:00,06:01:00,4418,6,6,0,0,,1
0-6,06:00:00,06:01:00,2232,7,7,0,0,,1
0-6,06:00:00,06:01:00,0032,8,8,0,0,,1
0-6,06:00:00,06:01:00,4432,9,9,0,0,,1
0-6,06:00:00,06:01:00,2234,10,10,0,0,,1
0-6,06:00:00,06:01:00,0034,11,11,0,0,,1
0-6,06:00:00,06:01:00,1134,12,12,0,0,,1
0-7,06:10:00,06:11:00,1156,0,0,0,0,,1
0-7,06:10:00,06:11:00,330,1,1,0,0,,1
0-7,06:10:00,06:11:00,000,2,2,0,0,,1
0-7,06:10:00,06:11:00,110,3,3,0,0,,1
0-7,06:10:00,06:11:00,3318,4,4,0,0,,1
0-7,06:10:00,06:11:00,0018,5,5,0,0,,1
0-7,06:10:00,06:11:00,4418,6,6,0,0,,1
0-7,06:10:00,06:11:00,2232,7,7,0,0,,1
0-7,06:10:00,06:11:00,0032,8,8,0,0,,1
0-7,06:10:00,06:11:00,4432,9,9,0,0,,1
0-7,06:10:00,06:11:00,2234,10,10,0,0,,1
0-7,06:10:00,06:11:00,0034,11,11,0,0,,1
0-7,06:10:00,06:11:00,1134,12,12,0,0,,1
0-8,06:20:00,06:21:00,1156,0,0,0,0,,1
0-8,06:20:00,06:21:00,330,1,1,0,0,,1
0-8,06:20:00,06:21:00,000,2,2,0,0,,1
0-8,06:20:00,06:21:00,110,3,3,0,0,,1
0-8,06:20:00,06:21:00,3318,4,4,0,0,,1
0-8,06:20:00,06:21:00,0018,5,5,0,0,,1
0-8,06:20:00,06:21:00,4418,6,6,0,0,,1
0-8,06:20:00,06:21:00,2232,7,7,0,0,,1
0-8,06:20:00,06:21:00,0032,8,8,0,0,,1
0-8,06:20:00,06:21:00,4432,9,9,0,0,,1
0-8,06:20:00,06:21:00,2234,10,10,0,0,,1
0-8,06:20:00,06:21:00,0034,11,11,0,0,,1
0-8,06:20:00,06:21:00,1134,12,12,0,0,,1
0-9,06:30:00,06:31:00,1156,0,0,0,0,,1
0-9,06:30:00,06:31:00,330,1,1,0,0,,1
0-9,06:30:00,06:31:00,000,2,2,0,0,,1
0-9,06:30:00,06:31:00,110,3,3,0,0,,1
0-9,06:30:00,06:31:00,3318,4,4,0,0,,1
0-9,06:30:00,06:31:00,0018,5,5,0,0,,1
0-9,06:30:00,06:31:00,4418,6,6,0,0,,1
0-9,06:30:00,06:31:00,2232,7,7,0,0,,1
0-9,06:30:00,06:31:00,0032,8,8,0,0,,1
0-9,06:30:00,06:31:00,4432,9,9,0,0,,1
0-9,06:30:00,06:31:00,2234,10,10,0,0,,1
0-9,06:30:00,06:31:00,0034,11,11,0,0,,1
0-9,06:30:00,06:31:00,1134,12,12,0,0,,1
0-10,06:40:00,06:41:00,1156,0,0,0,0,,1
0-10,06:40:00,06:41:00,330,1,1,0,0,,1
0-10,06:40:00,06:41:00,000,2,2,0,0,,1
0-10,06:40:00,06:41:00,110,3,3,0,0,,1
0-10,06:40:00,06:41:00,3318,4,4,0,0,,1
0-10,06:40:00,06:41:00,0018,5,5,0,0,,1
0-10,06:40:00,06:41:00,4418,6,6,0,0,,1
0-10,06:40:00,06:41:00,2232,7,7,0,0,,1
0-10,06:40:00,06:41:00,0032,8,8,0,0,,1
0-10,06:40:00,06:41:00,4432,9,9,0,0,,1
0-10,06:40:00,06:41:00,2234,10,10,0,0,,1
0-10,06:40:00,06:41:00,0034,11,11,0,0,,1
0-10,06:40:00,06:41:00,1134,12,12,0,0,,1
0-11,06:50:00,06:51:00,1156,0,0,0,0,,1
0-11,06:50:00,06:51:00,330,1,1,0,0,,1
0-11,06:50:00,06:51:00,000,2,2,0,0,,1
0-11,06:50:00,06:51:00,110,3,3,0,0,,1
0-11,06:50:00,06:51:00,3318,4,4,0,0,,1
0-11,06:50:00,06:51:00,0018,5,5,0,0,,1
0-11,06:50:00,06:51:00,4418,6,6,0,0,,1
0-11,06:50:00,06:51:00,2232,7,7,0,0,,1
0-11,06:50:00,06:51:00,0032,8,8,0,0,,1
0-11,06:50:00,06:51:00,4432,9,9,0,0,,1
0-11,06:50:00,06:51:00,2234,10,10,0,0,,1
0-11,06:50:00,06:51:00,0034,11,11,0,0,,1
0-11,06:50:00,06:51:00,1134,12,12,0,0,,1
0-12,07:00:00,07:01:00,1156,0,0,0,0,,1
0-12,07:00:00,07:01:00,330,1,1,0,0,,1
0-12,07:00:00,07:01:00,000,2,2,0,0,,1
0-12,07:00:00,07:01:00,110,3,3,0,0,,1
0-12,07:00:00,07:01:00,3318,4,4,0,0,,1
0-12,07:00:00,07:01:00,0018,5,5,0,0,,1
0-12,07:00:00,07:01:00,4418,6,6,0,0,,1
0-12,07:00:00,07:01:00,2232,7,7,0,0,,1
0-12,07:00:00,07:01:00,0032,8,8,0,0,,1
0-12,07:00:00,07:01:00,4432,9,9,0,0,,1
0-12,07:00:00,07:01:00,2234,10,10,0,0,,1
0-12,07:00:00,07:01:00,0034,11,11,0,0,,1
0-12,07:00:00,07:01:00,1134,12,12,0,0,,1
0-13,07:10:00,07:11:00,1156,0,0,0,0,,1
0-13,07:10:00,07:11:00,330,1,1,0,0,,1
0-13,07:10:00,07:11:00,000,2,2,0,0,,1
0-13,07:10:00,07:11:00,110,3,3,0,0,,1
0-13,07:10:00,07:11:00,3318,4,4,0,0,,1
0-13,07:10:00,07:11:00,0018,5,5,0,0,,1
0-13,07:10:00,07:11:00,4418,6,6,0,0,,1
0-13,07:10:00,07:11:00,2232,7,7,0,0,,1
0-13,07:10:00,07:11:00,0032,8,8,0,0,,1
0-13,07:10:00,07:11:00,4432,9,9,0,0,,1
