route_id,service_id,trip_id,trip_headsign,block_id,wheelchair_accessible,trip_direction_name,exceptional
0,0,0-0,0-0,0-0,NA,NA,NA
0,0,0-1,0-1,0-1,NA,NA,NA
0,0,0-2,0-2,0-2,NA,NA,NA
0,0,0-3,0-3,0-3,NA,NA,NA
0,0,0-4,0-4,0-4,NA,NA,NA
0,0,0-5,0-5,0-5,NA,NA,NA
0,0,0-6,0-6,0-6,NA,NA,NA
0,0,0-7,0-7,0-7,NA,NA,NA
0,0,0-8,0-8,0-8,NA,NA,NA
0,0,0-9,0-9,0-9,NA,NA,NA
0,0,0-10,0-10,0-10,NA,NA,NA
0,0,0-11,0-11,0-11,NA,NA,NA
0,0,0-12,0-12,0-12,NA,NA,NA
0,0,0-13,0-13,0-13,NA,NA,NA
0,0,0-14,0-14,0-14,NA,NA,NA
0,0,0-15,0-15,0-15,NA,NA,NA
0,0,0-16,0-16,0-16,NA,NA,NA
0,0,0-17,0-17,0-17,NA,NA,NA
0,0,0-18,0-18,0-18,NA,NA,NA
0,0,0-19,0-19,0-19,NA,NA,NA
0,0,0-20,0-20,0-20,NA,NA,NA
0,0,0-21,0-21,0-21,NA,NA,NA
0,0,0-22,0-22,0-22,NA,NA,NA
0,0,0-23,0-23,0-23,NA,NA,NA
0,0,0-24,0-24,0-24,NA,NA,NA
0,0,0-25,0-25,0-25,NA,NA,NA
0,0,0-26,0-26,0-26,NA,NA,NA
0,0,0-27,0-27,0-27,NA,NA,NA
0,0,0-28,0-28,0-28,NA,NA,NA
0,0,0-29,0-29,0-29,NA,NA,NA
0,0,0-30,0-30,0-30,NA,NA,NA
0,0,0-31,0-31,0-31,NA,NA,NA
0,0,0-32,0-32,0-32,NA,NA,NA
0,0,0-33,0-33,0-33,NA,NA,NA
0,0,0-34,0-34,0-34,NA,NA,NA
0,0,0-35,0-35,0-35,NA,NA,NA
0,0,0-36,0-36,0-36,NA,NA,NA
0,0,0-37,0-37,0-37,NA,NA,NA
0,0,0-38,0-38,0-38,NA,NA,NA
0,0,0-39,0-39,0-39,NA,NA,NA
0,0,0-40,0-40,0-40,NA,NA,NA
0,0,0-41,0-41,0-41,NA,NA,NA
0,0,0-42,0-42,0-42,NA,NA,NA
0,0,0-43,0-43,0-43,NA,NA,NA
0,0,0-44,0-44,0-44,NA,NA,NA
0,0,0-45,0-45,0-45,NA,NA,NA
0,0,0-46,0-46,0-46,NA,NA,NA
0,0,0-47,0-47,0-47,NA,NA,NA
0,0,0-48,0-48,0-48,NA,NA,NA
0,0,0-49,0-49,0-49,NA,NA,NA
0,0,0-50,0-50,0-50,NA,NA,NA
0,0,0-51,0-51,0-51,NA,NA,NA
0,0,0-52,0-52,0-52,NA,NA,NA
0,0,0-53,0-53,0-53,NA,NA,NA
0,0,0-54,0-54,0-54,NA,NA,NA
0,0,0-55,0-55,0-55,NA,NA,NA
0,0,0-56,0-56,0-56,NA,NA,NA
0,0,0-57,0-57,0-57,NA,NA,NA
0,0,0-58,0-58,0-58,NA,NA,NA
0,0,0-59,0-59,0-59,NA,NA,NA
