stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,platform_code
78,78,78,-3.94755554602857,56.93578463809501,yes,NA,NA,NA,NA
75,75,75,-3.9526784977372924,56.93570471220113,yes,NA,NA,NA,NA
59,59,59,-3.960142527184184,56.93138506736387,yes,NA,NA,NA,NA
17,17,17,-3.9753613626720523,56.92834357427514,yes,NA,NA,NA,NA
2,2,2,-3.99584858710527,56.92801808343776,yes,NA,NA,NA,NA
15,15,15,-3.991174395518298,56.936498342288814,yes,NA,NA,NA,NA
3,3,3,-3.996446939373698,56.93921614111081,yes,NA,NA,NA,NA
9,9,9,-3.9990834987918724,56.94057495476166,yes,NA,NA,NA,NA
8,8,8,-3.999233360089659,56.94337446027929,yes,NA,NA,NA,NA
20,20,20,-4.002020410413693,56.94753271051362,yes,NA,NA,NA,NA
7,7,7,-4.004357192687465,56.94329241050031,yes,NA,NA,NA,NA
34,34,34,-4.002921546687373,56.96432967194455,yes,NA,NA,NA,NA
