,hh_index,area_id,zone_id,hh_count,hh_children,hh_people_in_work,hh_in_work,hh_income,hh_cars,p_hh_index,adult,gender,age,employment,occupation,main_activity,main_activity_id,main_facility_area,main_facility_zone,mode,hh_income_bin,age_bin
0,0.0,2.0,2.3,3.0,1.0,1.0,yes,50000.0,0.0,0,16+,female,22.0,employment,unskilled,work,204.0,0.0,0.1,car,mid,21-31
1,0.0,2.0,2.3,3.0,1.0,1.0,yes,50000.0,0.0,1,16+,male,19.0,employment,unskilled,health,6.0,10.0,10.3,car,mid,16-21
2,0.0,2.0,2.3,3.0,1.0,1.0,yes,50000.0,0.0,2,under16,female,6.0,education,none,education,7.0,10.0,10.0,car,mid,4-13
3,1.0,3.0,3.1,3.0,1.0,1.0,yes,75000.0,0.0,0,16+,female,22.0,employment,unskilled,work,64.0,5.0,5.4,car,mid-high,21-31
4,1.0,3.0,3.1,3.0,1.0,1.0,yes,75000.0,0.0,1,16+,female,22.0,employment,unskilled,work,8.0,10.0,10.3,car,mid-high,21-31
5,1.0,3.0,3.1,3.0,1.0,1.0,yes,75000.0,0.0,2,under16,male,12.0,education,none,education,80.0,3.0,3.2,car,mid-high,4-13
6,2.0,9.0,9.1,5.0,3.0,0.0,noone,23000.0,1.0,0,16+,female,22.0,employment,unskilled,work,183.0,0.0,0.1,car,low,21-31
7,2.0,9.0,9.1,5.0,3.0,0.0,noone,23000.0,1.0,1,16+,male,22.0,employment,unskilled,work,145.0,3.0,3.2,car,low,21-31
8,2.0,9.0,9.1,5.0,3.0,0.0,noone,23000.0,1.0,2,under16,male,8.0,education,none,health,0.0,10.0,10.0,car,low,4-13
9,2.0,9.0,9.1,5.0,3.0,0.0,noone,23000.0,1.0,3,under16,female,9.0,education,none,education,52.0,7.0,7.0,car,low,4-13
10,2.0,9.0,9.1,5.0,3.0,0.0,noone,23000.0,1.0,4,under16,other,9.0,education,none,education,15.0,10.0,10.3,car,low,4-13
11,3.0,9.0,9.1,2.0,0.0,1.0,yes,35000.0,0.0,0,16+,male,63.0,employment,unskilled,work,189.0,0.0,0.1,car,low,61-71
12,3.0,9.0,9.1,2.0,0.0,1.0,yes,35000.0,0.0,1,16+,male,65.0,retired,none,leisure,13.0,10.0,10.1,car,low,61-71
13,4.0,9.0,9.2,4.0,1.0,3.0,yes,85000.0,3.0,0,16+,female,18.0,education,none,education,97.0,0.0,0.1,car,mid-high,16-21
14,4.0,9.0,9.2,4.0,1.0,3.0,yes,85000.0,3.0,1,16+,male,19.0,education,none,education,6.0,10.0,10.3,car,mid-high,16-21
15,4.0,9.0,9.2,4.0,1.0,3.0,yes,85000.0,3.0,2,16+,female,24.0,employment,unskilled,work,143.0,8.0,8.1,car,mid-high,21-31
16,4.0,9.0,9.2,4.0,1.0,3.0,yes,85000.0,3.0,3,under16,male,3.0,education,none,education,85.0,0.0,0.1,car,mid-high,0-4
17,5.0,2.0,2.3,4.0,1.0,3.0,yes,100000.0,1.0,0,16+,female,34.0,employment,unskilled,work,110.0,6.0,6.3,car,high,31-41
18,5.0,2.0,2.3,4.0,1.0,3.0,yes,100000.0,1.0,1,16+,male,35.0,employment,skilled,work,6.0,10.0,10.3,car,high,31-41
19,5.0,2.0,2.3,4.0,1.0,3.0,yes,100000.0,1.0,2,16+,female,32.0,employment,unskilled,work,43.0,10.0,10.3,car,high,31-41
20,5.0,2.0,2.3,4.0,1.0,3.0,yes,100000.0,1.0,3,under16,female,8.0,education,none,education,7.0,10.0,10.0,car,high,4-13
21,6.0,9.0,9.2,3.0,1.0,2.0,yes,60000.0,1.0,0,16+,other,18.0,education,none,education,88.0,0.0,0.1,car,mid-high,16-21
22,6.0,9.0,9.2,3.0,1.0,2.0,yes,60000.0,1.0,1,16+,male,19.0,education,none,education,9.0,10.0,10.0,car,mid-high,16-21
23,6.0,9.0,9.2,3.0,1.0,2.0,yes,60000.0,1.0,2,under16,female,13.0,education,none,education,0.0,10.0,10.0,car,mid-high,4-13
24,7.0,2.0,2.2,1.0,0.0,0.0,noone,16000.0,1.0,0,16+,male,63.0,retired,none,leisure,8.0,9.0,9.1,car,low,61-71
25,8.0,10.0,10.2,3.0,1.0,2.0,yes,25000.0,1.0,0,16+,female,19.0,education,none,education,0.0,10.0,10.0,car,low,16-21
26,8.0,10.0,10.2,3.0,1.0,2.0,yes,25000.0,1.0,1,16+,male,24.0,employment,unskilled,work,104.0,5.0,5.6,car,low,21-31
27,8.0,10.0,10.2,3.0,1.0,2.0,yes,25000.0,1.0,2,under16,male,10.0,education,none,education,64.0,5.0,5.7,car,low,4-13
28,9.0,9.0,9.1,4.0,1.0,0.0,noone,20000.0,1.0,0,16+,female,27.0,unemployed,none,None,-1.0,-1.0,-1.0,,low,21-31
29,9.0,9.0,9.1,4.0,1.0,0.0,noone,20000.0,1.0,1,16+,male,28.0,unemployed,none,None,-1.0,-1.0,-1.0,,low,21-31
30,9.0,9.0,9.1,4.0,1.0,0.0,noone,20000.0,1.0,2,16+,female,27.0,employment,unskilled,work,194.0,0.0,0.1,car,low,21-31
31,9.0,9.0,9.1,4.0,1.0,0.0,noone,20000.0,1.0,3,under16,male,6.0,education,none,education,82.0,3.0,3.3,car,low,4-13
32,10.0,2.0,2.3,2.0,0.0,2.0,yes,70000.0,0.0,0,16+,male,62.0,employment,skilled,None,-1.0,-1.0,-1.0,,mid-high,61-71
33,10.0,2.0,2.3,2.0,0.0,2.0,yes,70000.0,0.0,1,16+,male,60.0,employment,unskilled,work,19.0,10.0,10.0,car,mid-high,51-61
34,11.0,9.0,9.1,3.0,1.0,1.0,yes,55000.0,1.0,0,16+,female,29.0,employment,skilled,work,138.0,8.0,8.1,car,mid-high,21-31
35,11.0,9.0,9.1,3.0,1.0,1.0,yes,55000.0,1.0,1,16+,male,31.0,employment,unskilled,work,202.0,0.0,0.0,car,mid-high,21-31
36,11.0,9.0,9.1,3.0,1.0,1.0,yes,55000.0,1.0,2,under16,other,3.0,education,none,education,2.0,10.0,10.0,car,mid-high,0-4
37,12.0,10.0,10.3,5.0,0.0,3.0,yes,120000.0,2.0,0,16+,male,54.0,employment,skilled,work,89.0,5.0,5.5,car,high,51-61
38,12.0,10.0,10.3,5.0,0.0,3.0,yes,120000.0,2.0,1,16+,male,53.0,employment,unskilled,work,35.0,11.0,11.0,car,high,51-61
39,12.0,10.0,10.3,5.0,0.0,3.0,yes,120000.0,2.0,2,16+,male,54.0,employment,unskilled,work,130.0,6.0,6.6,car,high,51-61
40,12.0,10.0,10.3,5.0,0.0,3.0,yes,120000.0,2.0,3,16+,male,56.0,retired,none,None,-1.0,-1.0,-1.0,,high,51-61
41,12.0,10.0,10.3,5.0,0.0,3.0,yes,120000.0,2.0,4,16+,male,52.0,retired,none,None,-1.0,-1.0,-1.0,,high,51-61
42,13.0,9.0,9.1,5.0,0.0,2.0,yes,85000.0,2.0,0,16+,male,57.0,employment,unskilled,work,38.0,10.0,10.1,car,mid-high,51-61
43,13.0,9.0,9.1,5.0,0.0,2.0,yes,85000.0,2.0,1,16+,male,59.0,employment,unskilled,work,137.0,5.0,5.6,car,mid-high,51-61
44,13.0,9.0,9.1,5.0,0.0,2.0,yes,85000.0,2.0,2,16+,male,57.0,retired,none,leisure,13.0,10.0,10.1,car,mid-high,51-61
45,13.0,9.0,9.1,5.0,0.0,2.0,yes,85000.0,2.0,3,16+,female,56.0,retired,none,leisure,71.0,3.0,3.0,car,mid-high,51-61
46,13.0,9.0,9.1,5.0,0.0,2.0,yes,85000.0,2.0,4,16+,male,60.0,retired,none,None,-1.0,-1.0,-1.0,,mid-high,51-61
47,14.0,3.0,3.1,4.0,1.0,3.0,yes,45000.0,1.0,0,16+,female,28.0,employment,unskilled,work,31.0,10.0,10.0,car,mid,21-31
48,14.0,3.0,3.1,4.0,1.0,3.0,yes,45000.0,1.0,1,16+,female,31.0,employment,unskilled,work,23.0,10.0,10.2,car,mid,21-31
49,14.0,3.0,3.1,4.0,1.0,3.0,yes,45000.0,1.0,2,16+,male,32.0,employment,unskilled,work,0.0,10.0,10.0,car,mid,31-41
50,14.0,3.0,3.1,4.0,1.0,3.0,yes,45000.0,1.0,3,under16,female,11.0,education,none,education,71.0,5.0,5.5,car,mid,4-13
