trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0-0,08:00:00,08:00:30,26_centre,0,0,0,0,,1
0-0,08:01:30,08:02:00,26_centre--26_south,1,1,0,0,,1
0-0,08:03:00,08:03:30,26_south,2,2,0,0,,1
0-0,08:04:30,08:05:00,26_south--24_west,3,3,0,0,,1
0-0,08:06:00,08:06:30,24_west,4,4,0,0,,1
0-0,08:07:30,08:08:00,24_west--0_south,5,5,0,0,,1
0-0,08:09:00,08:09:30,0_south,6,6,0,0,,1
0-0,08:10:30,08:11:00,0_south--0_centre,7,7,0,0,,1
0-0,08:12:00,08:12:30,0_centre,8,8,0,0,,1
0-0,08:13:30,08:14:00,0_centre--0_north,9,9,0,0,,1
0-0,08:15:00,08:15:30,0_north,10,10,0,0,,1
0-0,08:16:30,08:17:00,0_north--15_west,11,11,0,0,,1
0-0,08:18:00,08:18:30,15_west,12,12,0,0,,1
0-0,08:19:30,08:20:00,15_west--15_centre,13,13,0,0,,1
0-0,08:21:00,08:21:30,15_centre,14,14,0,0,,1
0-0,08:22:30,08:23:00,15_centre--15_south,15,15,0,0,,1
0-0,08:24:00,08:24:30,15_south,16,16,0,0,,1
0-0,08:25:30,08:26:00,15_south--16_east,17,17,0,0,,1
0-0,08:27:00,08:27:30,16_east,18,18,0,0,,1
0-0,08:28:30,08:29:00,16_east--19_south,19,19,0,0,,1
0-0,08:30:00,08:30:30,19_south,20,20,0,0,,1
0-1,09:00:00,09:00:30,26_centre,0,0,0,0,,1
0-1,09:01:30,09:02:00,26_centre--26_south,1,1,0,0,,1
0-1,09:03:00,09:03:30,26_south,2,2,0,0,,1
0-1,09:04:30,09:05:00,26_south--24_west,3,3,0,0,,1
0-1,09:06:00,09:06:30,24_west,4,4,0,0,,1
0-1,09:07:30,09:08:00,24_west--0_south,5,5,0,0,,1
0-1,09:09:00,09:09:30,0_south,6,6,0,0,,1
0-1,09:10:30,09:11:00,0_south--0_centre,7,7,0,0,,1
0-1,09:12:00,09:12:30,0_centre,8,8,0,0,,1
0-1,09:13:30,09:14:00,0_centre--0_north,9,9,0,0,,1
0-1,09:15:00,09:15:30,0_north,10,10,0,0,,1
0-1,09:16:30,09:17:00,0_north--15_west,11,11,0,0,,1
0-1,09:18:00,09:18:30,15_west,12,12,0,0,,1
0-1,09:19:30,09:20:00,15_west--15_centre,13,13,0,0,,1
0-1,09:21:00,09:21:30,15_centre,14,14,0,0,,1
0-1,09:22:30,09:23:00,15_centre--15_south,15,15,0,0,,1
0-1,09:24:00,09:24:30,15_south,16,16,0,0,,1
0-1,09:25:30,09:26:00,15_south--16_east,17,17,0,0,,1
0-1,09:27:00,09:27:30,16_east,18,18,0,0,,1
0-1,09:28:30,09:29:00,16_east--19_south,19,19,0,0,,1
0-1,09:30:00,09:30:30,19_south,20,20,0,0,,1
0-2,10:00:00,10:00:30,26_centre,0,0,0,0,,1
0-2,10:01:30,10:02:00,26_centre--26_south,1,1,0,0,,1
0-2,10:03:00,10:03:30,26_south,2,2,0,0,,1
0-2,10:04:30,10:05:00,26_south--24_west,3,3,0,0,,1
0-2,10:06:00,10:06:30,24_west,4,4,0,0,,1
0-2,10:07:30,10:08:00,24_west--0_south,5,5,0,0,,1
0-2,10:09:00,10:09:30,0_south,6,6,0,0,,1
0-2,10:10:30,10:11:00,0_south--0_centre,7,7,0,0,,1
0-2,10:12:00,10:12:30,0_centre,8,8,0,0,,1
0-2,10:13:30,10:14:00,0_centre--0_north,9,9,0,0,,1
0-2,10:15:00,10:15:30,0_north,10,10,0,0,,1
0-2,10:16:30,10:17:00,0_north--15_west,11,11,0,0,,1
0-2,10:18:00,10:18:30,15_west,12,12,0,0,,1
0-2,10:19:30,10:20:00,15_west--15_centre,13,13,0,0,,1
0-2,10:21:00,10:21:30,15_centre,14,14,0,0,,1
0-2,10:22:30,10:23:00,15_centre--15_south,15,15,0,0,,1
0-2,10:24:00,10:24:30,15_south,16,16,0,0,,1
0-2,10:25:30,10:26:00,15_south--16_east,17,17,0,0,,1
0-2,10:27:00,10:27:30,16_east,18,18,0,0,,1
0-2,10:28:30,10:29:00,16_east--19_south,19,19,0,0,,1
0-2,10:30:00,10:30:30,19_south,20,20,0,0,,1
0-3,11:00:00,11:00:30,26_centre,0,0,0,0,,1
0-3,11:01:30,11:02:00,26_centre--26_south,1,1,0,0,,1
0-3,11:03:00,11:03:30,26_south,2,2,0,0,,1
0-3,11:04:30,11:05:00,26_south--24_west,3,3,0,0,,1
0-3,11:06:00,11:06:30,24_west,4,4,0,0,,1
0-3,11:07:30,11:08:00,24_west--0_south,5,5,0,0,,1
0-3,11:09:00,11:09:30,0_south,6,6,0,0,,1
0-3,11:10:30,11:11:00,0_south--0_centre,7,7,0,0,,1
0-3,11:12:00,11:12:30,0_centre,8,8,0,0,,1
0-3,11:13:30,11:14:00,0_centre--0_north,9,9,0,0,,1
0-3,11:15:00,11:15:30,0_north,10,10,0,0,,1
0-3,11:16:30,11:17:00,0_north--15_west,11,11,0,0,,1
0-3,11:18:00,11:18:30,15_west,12,12,0,0,,1
0-3,11:19:30,11:20:00,15_west--15_centre,13,13,0,0,,1
0-3,11:21:00,11:21:30,15_centre,14,14,0,0,,1
0-3,11:22:30,11:23:00,15_centre--15_south,15,15,0,0,,1
0-3,11:24:00,11:24:30,15_south,16,16,0,0,,1
0-3,11:25:30,11:26:00,15_south--16_east,17,17,0,0,,1
0-3,11:27:00,11:27:30,16_east,18,18,0,0,,1
0-3,11:28:30,11:29:00,16_east--19_south,19,19,0,0,,1
0-3,11:30:00,11:30:30,19_south,20,20,0,0,,1
0-4,12:00:00,12:00:30,26_centre,0,0,0,0,,1
0-4,12:01:30,12:02:00,26_centre--26_south,1,1,0,0,,1
0-4,12:03:00,12:03:30,26_south,2,2,0,0,,1
0-4,12:04:30,12:05:00,26_south--24_west,3,3,0,0,,1
0-4,12:06:00,12:06:30,24_west,4,4,0,0,,1
0-4,12:07:30,12:08:00,24_west--0_south,5,5,0,0,,1
0-4,12:09:00,12:09:30,0_south,6,6,0,0,,1
0-4,12:10:30,12:11:00,0_south--0_centre,7,7,0,0,,1
0-4,12:12:00,12:12:30,0_centre,8,8,0,0,,1
0-4,12:13:30,12:14:00,0_centre--0_north,9,9,0,0,,1
0-4,12:15:00,12:15:30,0_north,10,10,0,0,,1
0-4,12:16:30,12:17:00,0_north--15_west,11,11,0,0,,1
0-4,12:18:00,12:18:30,15_west,12,12,0,0,,1
0-4,12:19:30,12:20:00,15_west--15_centre,13,13,0,0,,1
0-4,12:21:00,12:21:30,15_centre,14,14,0,0,,1
0-4,12:22:30,12:23:00,15_centre--15_south,15,15,0,0,,1
0-4,12:24:00,12:24:30,15_south,16,16,0,0,,1
0-4,12:25:30,12:26:00,15_south--16_east,17,17,0,0,,1
0-4,12:27:00,12:27:30,16_east,18,18,0,0,,1
0-4,12:28:30,12:29:00,16_east--19_south,19,19,0,0,,1
0-4,12:30:00,12:30:30,19_south,20,20,0,0,,1
0-5,13:00:00,13:00:30,26_centre,0,0,0,0,,1
0-5,13:01:30,13:02:00,26_centre--26_south,1,1,0,0,,1
0-5,13:03:00,13:03:30,26_south,2,2,0,0,,1
0-5,13:04:30,13:05:00,26_south--24_west,3,3,0,0,,1
0-5,13:06:00,13:06:30,24_west,4,4,0,0,,1
0-5,13:07:30,13:08:00,24_west--0_south,5,5,0,0,,1
0-5,13:09:00,13:09:30,0_south,6,6,0,0,,1
0-5,13:10:30,13:11:00,0_south--0_centre,7,7,0,0,,1
0-5,13:12:00,13:12:30,0_centre,8,8,0,0,,1
0-5,13:13:30,13:14:00,0_centre--0_north,9,9,0,0,,1
0-5,13:15:00,13:15:30,0_north,10,10,0,0,,1
0-5,13:16:30,13:17:00,0_north--15_west,11,11,0,0,,1
0-5,13:18:00,13:18:30,15_west,12,12,0,0,,1
0-5,13:19:30,13:20:00,15_west--15_centre,13,13,0,0,,1
0-5,13:21:00,13:21:30,15_centre,14,14,0,0,,1
0-5,13:22:30,13:23:00,15_centre--15_south,15,15,0,0,,1
0-5,13:24:00,13:24:30,15_south,16,16,0,0,,1
0-5,13:25:30,13:26:00,15_south--16_east,17,17,0,0,,1
0-5,13:27:00,13:27:30,16_east,18,18,0,0,,1
0-5,13:28:30,13:29:00,16_east--19_south,19,19,0,0,,1
0-5,13:30:00,13:30:30,19_south,20,20,0,0,,1
0-6,14:00:00,14:00:30,26_centre,0,0,0,0,,1
0-6,14:01:30,14:02:00,26_centre--26_south,1,1,0,0,,1
0-6,14:03:00,14:03:30,26_south,2,2,0,0,,1
0-6,14:04:30,14:05:00,26_south--24_west,3,3,0,0,,1
0-6,14:06:00,14:06:30,24_west,4,4,0,0,,1
0-6,14:07:30,14:08:00,24_west--0_south,5,5,0,0,,1
0-6,14:09:00,14:09:30,0_south,6,6,0,0,,1
0-6,14:10:30,14:11:00,0_south--0_centre,7,7,0,0,,1
0-6,14:12:00,14:12:30,0_centre,8,8,0,0,,1
0-6,14:13:30,14:14:00,0_centre--0_north,9,9,0,0,,1
0-6,14:15:00,14:15:30,0_north,10,10,0,0,,1
0-6,14:16:30,14:17:00,0_north--15_west,11,11,0,0,,1
0-6,14:18:00,14:18:30,15_west,12,12,0,0,,1
0-6,14:19:30,14:20:00,15_west--15_centre,13,13,0,0,,1
0-6,14:21:00,14:21:30,15_centre,14,14,0,0,,1
0-6,14:22:30,14:23:00,15_centre--15_south,15,15,0,0,,1
0-6,14:24:00,14:24:30,15_south,16,16,0,0,,1
0-6,14:25:30,14:26:00,15_south--16_east,17,17,0,0,,1
0-6,14:27:00,14:27:30,16_east,18,18,0,0,,1
0-6,14:28:30,14:29:00,16_east--19_south,19,19,0,0,,1
0-6,14:30:00,14:30:30,19_south,20,20,0,0,,1
0-7,15:00:00,15:00:30,26_centre,0,0,0,0,,1
0-7,15:01:30,15:02:00,26_centre--26_south,1,1,0,0,,1
0-7,15:03:00,15:03:30,26_south,2,2,0,0,,1
0-7,15:04:30,15:05:00,26_south--24_west,3,3,0,0,,1
0-7,15:06:00,15:06:30,24_west,4,4,0,0,,1
0-7,15:07:30,15:08:00,24_west--0_south,5,5,0,0,,1
0-7,15:09:00,15:09:30,0_south,6,6,0,0,,1
0-7,15:10:30,15:11:00,0_south--0_centre,7,7,0,0,,1
0-7,15:12:00,15:12:30,0_centre,8,8,0,0,,1
0-7,15:13:30,15:14:00,0_centre--0_north,9,9,0,0,,1
0-7,15:15:00,15:15:30,0_north,10,10,0,0,,1
0-7,15:16:30,15:17:00,0_north--15_west,11,11,0,0,,1
0-7,15:18:00,15:18:30,15_west,12,12,0,0,,1
0-7,15:19:30,15:20:00,15_west--15_centre,13,13,0,0,,1
0-7,15:21:00,15:21:30,15_centre,14,14,0,0,,1
0-7,15:22:30,15:23:00,15_centre--15_south,15,15,0,0,,1
0-7,15:24:00,15:24:30,15_south,16,16,0,0,,1
0-7,15:25:30,15:26:00,15_south--16_east,17,17,0,0,,1
0-7,15:27:00,15:27:30,16_east,18,18,0,0,,1
0-7,15:28:30,15:29:00,16_east--19_south,19,19,0,0,,1
0-7,15:30:00,15:30:30,19_south,20,20,0,0,,1
0-8,16:00:00,16:00:30,26_centre,0,0,0,0,,1
0-8,16:01:30,16:02:00,26_centre--26_south,1,1,0,0,,1
0-8,16:03:00,16:03:30,26_south,2,2,0,0,,1
0-8,16:04:30,16:05:00,26_south--24_west,3,3,0,0,,1
0-8,16:06:00,16:06:30,24_west,4,4,0,0,,1
0-8,16:07:30,16:08:00,24_west--0_south,5,5,0,0,,1
0-8,16:09:00,16:09:30,0_south,6,6,0,0,,1
0-8,16:10:30,16:11:00,0_south--0_centre,7,7,0,0,,1
0-8,16:12:00,16:12:30,0_centre,8,8,0,0,,1
0-8,16:13:30,16:14:00,0_centre--0_north,9,9,0,0,,1
0-8,16:15:00,16:15:30,0_north,10,10,0,0,,1
0-8,16:16:30,16:17:00,0_north--15_west,11,11,0,0,,1
0-8,16:18:00,16:18:30,15_west,12,12,0,0,,1
0-8,16:19:30,16:20:00,15_west--15_centre,13,13,0,0,,1
0-8,16:21:00,16:21:30,15_centre,14,14,0,0,,1
0-8,16:22:30,16:23:00,15_centre--15_south,15,15,0,0,,1
0-8,16:24:00,16:24:30,15_south,16,16,0,0,,1
0-8,16:25:30,16:26:00,15_south--16_east,17,17,0,0,,1
0-8,16:27:00,16:27:30,16_east,18,18,0,0,,1
0-8,16:28:30,16:29:00,16_east--19_south,19,19,0,0,,1
0-8,16:30:00,16:30:30,19_south,20,20,0,0,,1
0-9,17:00:00,17:00:30,26_centre,0,0,0,0,,1
0-9,17:01:30,17:02:00,26_centre--26_south,1,1,0,0,,1
0-9,17:03:00,17:03:30,26_south,2,2,0,0,,1
0-9,17:04:30,17:05:00,26_south--24_west,3,3,0,0,,1
0-9,17:06:00,17:06:30,24_west,4,4,0,0,,1
0-9,17:07:30,17:08:00,24_west--0_south,5,5,0,0,,1
0-9,17:09:00,17:09:30,0_south,6,6,0,0,,1
0-9,17:10:30,17:11:00,0_south--0_centre,7,7,0,0,,1
0-9,17:12:00,17:12:30,0_centre,8,8,0,0,,1
0-9,17:13:30,17:14:00,0_centre--0_north,9,9,0,0,,1
0-9,17:15:00,17:15:30,0_north,10,10,0,0,,1
0-9,17:16:30,17:17:00,0_north--15_west,11,11,0,0,,1
0-9,17:18:00,17:18:30,15_west,12,12,0,0,,1
0-9,17:19:30,17:20:00,15_west--15_centre,13,13,0,0,,1
0-9,17:21:00,17:21:30,15_centre,14,14,0,0,,1
0-9,17:22:30,17:23:00,15_centre--15_south,15,15,0,0,,1
0-9,17:24:00,17:24:30,15_south,16,16,0,0,,1
0-9,17:25:30,17:26:00,15_south--16_east,17,17,0,0,,1
